Recency,Frequency,Monetary,Cluster,segments
43,7,1280.85,0,low-engaged
86,3,631.34,0,low-engaged
40,2,291.41,0,low-engaged
12,3,626.99,0,low-engaged
96,2,682.41,0,low-engaged
26,7,918.2,0,low-engaged
319,1,91.8,1,churned
66,12,3740.07,0,low-engaged
74,4,4149.28,0,low-engaged
28,2,584.06,0,low-engaged
6,4,605.06,0,low-engaged
7,1,174.37,0,low-engaged
216,1,141.86,1,churned
82,3,1799.33,0,low-engaged
84,2,777.53,0,low-engaged
144,3,1749.02,0,low-engaged
19,2,240.22,0,low-engaged
41,2,874.71,0,low-engaged
173,1,192.85,1,churned
17,2,373.75,0,low-engaged
243,1,239.49,1,churned
13,12,2092.32,0,low-engaged
206,1,1384.25,1,churned
50,2,294.4,0,low-engaged
23,5,732.07,0,low-engaged
10,18,6717.34,3,Regulars
25,4,1687.6,0,low-engaged
15,2,467.04,0,low-engaged
309,1,118,1,churned
156,1,781.03,1,churned
307,1,142.4,1,churned
64,1,712.4,0,low-engaged
16,9,2478.95,0,low-engaged
15,2,379.65,0,low-engaged
11,6,1981.92,0,low-engaged
65,3,1117.13,0,low-engaged
36,4,247.96,0,low-engaged
108,5,2037.08,0,low-engaged
53,1,396.97,0,low-engaged
6,2,697.04,0,low-engaged
47,1,180.17,0,low-engaged
1,21,5153.67,3,Regulars
312,1,219.52,1,churned
45,2,693.32,0,low-engaged
65,1,428.89,0,low-engaged
26,1,164.34,0,low-engaged
29,3,280.54,0,low-engaged
40,1,678.01,0,low-engaged
12,7,1131.88,0,low-engaged
89,3,1171.8,0,low-engaged
24,4,1610.46,0,low-engaged
319,1,417.69,1,churned
40,3,544.18,0,low-engaged
174,1,177.34,1,churned
117,1,213.85,0,low-engaged
31,5,747.78,0,low-engaged
253,1,257.23,1,churned
59,5,1638.47,0,low-engaged
23,11,7792.36,0,low-engaged
5,7,2031.78,0,low-engaged
100,11,3070.42,0,low-engaged
25,5,2121.27,0,low-engaged
33,5,1575.16,0,low-engaged
68,1,1071.03,0,low-engaged
37,5,949.12,0,low-engaged
52,3,810.5,0,low-engaged
16,1,122.64,0,low-engaged
74,1,1033.34,0,low-engaged
216,1,354.8,1,churned
31,3,519.44,0,low-engaged
16,4,2624.26,0,low-engaged
120,1,252.1,0,low-engaged
10,4,1678.12,0,low-engaged
257,2,346.6,1,churned
17,6,1836.34,0,low-engaged
35,2,94.2,0,low-engaged
46,3,1095.08,0,low-engaged
43,6,2707.33,0,low-engaged
114,2,932.97,0,low-engaged
165,2,379.65,1,churned
11,2,382.14,0,low-engaged
10,5,2639.17,0,low-engaged
206,2,1573.2,1,churned
86,3,897.76,0,low-engaged
179,1,189.47,1,churned
60,3,84.65,0,low-engaged
149,1,305.02,1,churned
3,21,6363.59,3,Regulars
51,2,218.55,0,low-engaged
75,1,349.7,0,low-engaged
301,2,186.39,1,churned
19,2,396.92,0,low-engaged
151,2,486.82,1,churned
152,1,232.6,1,churned
1,4,3722.42,0,low-engaged
18,4,827.83,0,low-engaged
187,1,59.5,1,churned
286,1,67.23,1,churned
3,7,3119.44,0,low-engaged
183,1,72,1,churned
63,1,910,0,low-engaged
59,1,172.25,0,low-engaged
25,3,1488.32,0,low-engaged
4,50,65039.62,3,Regulars
31,15,2504.13,0,low-engaged
39,1,151.3,0,low-engaged
155,1,308.58,1,churned
26,10,2265.12,0,low-engaged
318,1,99.5,1,churned
5,9,2308.06,0,low-engaged
8,3,711.86,0,low-engaged
303,1,330.79,1,churned
267,2,806.41,1,churned
271,1,296.88,1,churned
4,13,6328.05,0,low-engaged
32,1,180.48,0,low-engaged
219,2,252.06,1,churned
247,1,228.84,1,churned
281,5,1079.34,1,churned
269,1,138.28,1,churned
32,6,1445.01,0,low-engaged
246,2,306.55,1,churned
15,5,1041.68,0,low-engaged
117,4,799.9,0,low-engaged
36,1,524.14,0,low-engaged
132,3,2375.41,0,low-engaged
217,1,199.85,1,churned
50,8,1980.56,0,low-engaged
39,2,1079.66,0,low-engaged
29,2,333.48,0,low-engaged
37,6,1016.14,0,low-engaged
136,2,752.6,0,low-engaged
219,2,610.59,1,churned
28,1,491.86,0,low-engaged
25,4,2885.24,0,low-engaged
5,2,731.9,0,low-engaged
200,1,339.6,1,churned
18,1,216.9,0,low-engaged
241,1,350.75,1,churned
72,3,668.43,0,low-engaged
17,12,3131.02,0,low-engaged
3,7,1341.6,0,low-engaged
95,2,1156.36,0,low-engaged
162,1,300.04,1,churned
374,1,79.6,1,churned
96,5,948.25,0,low-engaged
54,5,1647.26,0,low-engaged
288,1,296.25,1,churned
124,6,1186.28,0,low-engaged
288,1,741.26,1,churned
152,2,282.6,1,churned
4,9,2161.35,0,low-engaged
2,14,5189.52,3,Regulars
12,7,3190.55,0,low-engaged
33,2,659.41,0,low-engaged
54,2,286.79,0,low-engaged
50,2,1070.65,0,low-engaged
219,1,306.72,1,churned
63,1,1714.96,0,low-engaged
71,3,1521.76,0,low-engaged
2,37,17220.36,3,Regulars
2,10,2796.51,0,low-engaged
64,4,2634.45,0,low-engaged
34,3,1132.13,0,low-engaged
82,1,345,0,low-engaged
1,33,25977.16,3,Regulars
103,1,178.7,0,low-engaged
7,2,360.01,0,low-engaged
251,1,127.84,1,churned
13,6,912,0,low-engaged
10,11,2462.79,0,low-engaged
367,1,230.4,1,churned
76,2,309.04,0,low-engaged
4,1,348.8,0,low-engaged
128,2,1516,0,low-engaged
66,2,195.55,0,low-engaged
1,57,37153.85,3,Regulars
117,2,688.86,0,low-engaged
310,1,558.32,1,churned
67,1,324.8,0,low-engaged
139,3,4599.42,0,low-engaged
255,1,277.07,1,churned
31,7,2635.79,0,low-engaged
52,2,924.6,0,low-engaged
64,1,256.38,0,low-engaged
367,1,112.6,1,churned
6,5,1747.66,0,low-engaged
305,1,155.05,1,churned
29,3,1499.01,0,low-engaged
184,3,814.5,1,churned
42,3,539,0,low-engaged
40,4,1366.86,0,low-engaged
92,2,1579.12,0,low-engaged
22,4,4027.36,0,low-engaged
24,2,571.67,0,low-engaged
29,2,382.98,0,low-engaged
302,3,1140.35,1,churned
145,2,385.64,1,churned
6,2,632,0,low-engaged
19,2,957.66,0,low-engaged
33,5,1698.94,0,low-engaged
176,1,189.5,1,churned
58,3,412.05,0,low-engaged
22,1,209.49,0,low-engaged
16,6,2202.99,0,low-engaged
19,1,52.2,0,low-engaged
159,1,384.8,1,churned
25,4,834.57,0,low-engaged
212,2,271.24,1,churned
6,4,691.73,0,low-engaged
253,1,85,1,churned
59,9,3385.62,0,low-engaged
11,1,361.62,0,low-engaged
65,1,312.98,0,low-engaged
25,3,865.06,0,low-engaged
92,3,1255,0,low-engaged
52,2,1537.95,0,low-engaged
129,1,1595.48,0,low-engaged
96,3,2651.46,0,low-engaged
57,1,1090.14,0,low-engaged
9,25,8109.52,3,Regulars
169,3,388.5,1,churned
57,1,216.17,0,low-engaged
326,1,201.16,1,churned
1,5,1245.9,0,low-engaged
18,8,2209.36,0,low-engaged
248,1,305.78,1,churned
58,4,501.56,0,low-engaged
74,1,145.67,0,low-engaged
31,3,1015.29,0,low-engaged
7,2,3192.54,0,low-engaged
123,4,3104.95,0,low-engaged
2,8,2770.94,0,low-engaged
23,13,6403.25,0,low-engaged
120,3,389.6,0,low-engaged
358,1,540.45,1,churned
54,5,1786.79,0,low-engaged
64,1,122.7,0,low-engaged
86,1,117.24,0,low-engaged
55,1,1281.53,0,low-engaged
21,13,3219.77,0,low-engaged
4,20,17159.52,3,Regulars
3,5,1191.13,0,low-engaged
11,5,2674.48,0,low-engaged
7,5,787.6,0,low-engaged
189,2,506.8,1,churned
71,1,243.56,0,low-engaged
204,1,349.55,1,churned
120,2,605.63,0,low-engaged
93,1,416.9,0,low-engaged
1,10,1883.81,0,low-engaged
27,4,632.97,0,low-engaged
298,1,821.1,1,churned
24,3,564.62,0,low-engaged
28,4,2593.07,0,low-engaged
50,1,311.16,0,low-engaged
326,1,155.93,1,churned
16,2,388.52,0,low-engaged
183,3,740.95,1,churned
72,5,2867.2,0,low-engaged
37,2,332.64,0,low-engaged
80,4,2369.55,0,low-engaged
57,9,2580.91,0,low-engaged
12,2,626.45,0,low-engaged
50,2,272.04,0,low-engaged
50,2,1212.84,0,low-engaged
59,2,384.81,0,low-engaged
352,1,172.25,1,churned
54,1,351.13,0,low-engaged
2,6,1838.85,0,low-engaged
93,4,678.25,0,low-engaged
23,1,223.85,0,low-engaged
75,1,348.99,0,low-engaged
11,4,464.57,0,low-engaged
169,2,842.65,1,churned
58,2,337.34,0,low-engaged
96,2,1237.53,0,low-engaged
295,1,307.4,1,churned
109,2,608.79,0,low-engaged
264,1,922.1,1,churned
180,1,376.58,1,churned
169,1,158.85,1,churned
35,1,71.66,0,low-engaged
23,3,568.55,0,low-engaged
17,4,839.14,0,low-engaged
22,5,5112.96,0,low-engaged
79,3,561.57,0,low-engaged
65,1,90.6,0,low-engaged
361,1,102,1,churned
3,6,2427.32,0,low-engaged
11,4,745.06,0,low-engaged
176,3,674.45,1,churned
218,2,3251.071,1,churned
7,7,3515.68,0,low-engaged
2,2,439.92,0,low-engaged
154,2,322.96,1,churned
5,5,1026.42,0,low-engaged
79,3,598.2,0,low-engaged
21,2,230.22,0,low-engaged
22,2,169.55,0,low-engaged
308,4,664.54,1,churned
146,1,80.7,1,churned
7,18,9053.94,3,Regulars
19,8,2758.26,0,low-engaged
71,2,190.25,0,low-engaged
287,1,264.7,1,churned
49,1,413.59,0,low-engaged
31,6,2526.28,0,low-engaged
207,1,357.98,1,churned
15,2,196.79,0,low-engaged
73,1,869.87,0,low-engaged
60,1,200.14,0,low-engaged
39,4,1871.81,0,low-engaged
30,12,2603.43,0,low-engaged
27,5,920.51,0,low-engaged
4,15,7060.13,3,Regulars
17,1,320.46,0,low-engaged
20,6,4147.96,0,low-engaged
66,2,1266.08,0,low-engaged
213,1,311.3,1,churned
12,6,855.97,0,low-engaged
30,1,76.8,0,low-engaged
43,9,3466.36,0,low-engaged
4,6,2313.14,0,low-engaged
15,5,1393.69,0,low-engaged
10,12,3901.81,0,low-engaged
211,1,635.66,1,churned
46,3,2043.08,0,low-engaged
134,2,529.73,0,low-engaged
43,7,4582.64,0,low-engaged
10,5,2874.72,0,low-engaged
116,3,962.19,0,low-engaged
198,2,695.61,1,churned
278,1,328.8,1,churned
110,3,473.02,0,low-engaged
77,1,505.18,0,low-engaged
53,1,917.34,0,low-engaged
162,4,4341.21,1,churned
47,3,1421.61,0,low-engaged
17,2,642.8,0,low-engaged
155,3,631.9,1,churned
225,1,440,1,churned
7,2,584.07,0,low-engaged
122,2,327.7,0,low-engaged
61,1,104.82,0,low-engaged
63,2,467.66,0,low-engaged
18,8,2360.09,0,low-engaged
7,19,17286.86,3,Regulars
2,11,2975.59,0,low-engaged
22,3,651.82,0,low-engaged
29,5,1428.02,0,low-engaged
285,1,626.65,1,churned
176,2,147.2,1,churned
78,3,1560.38,0,low-engaged
33,1,152.2,0,low-engaged
41,12,3614.92,0,low-engaged
266,1,141.41,1,churned
27,4,652.82,0,low-engaged
109,4,1659.75,0,low-engaged
284,1,154.99,1,churned
9,5,1308.61,0,low-engaged
305,1,409.93,1,churned
17,4,5681.72,0,low-engaged
32,2,746.36,0,low-engaged
1,23,15610.39,3,Regulars
20,1,225.36,0,low-engaged
124,2,260.25,0,low-engaged
65,1,92.46,0,low-engaged
106,1,725.64,0,low-engaged
1,23,8214.65,3,Regulars
24,17,6217.96,3,Regulars
267,1,183.6,1,churned
5,19,6140.42,3,Regulars
10,12,10464.85,3,Regulars
29,5,1353.74,0,low-engaged
267,1,152.55,1,churned
64,2,374.7,0,low-engaged
320,1,265.85,1,churned
4,8,1438.82,0,low-engaged
32,1,151.04,0,low-engaged
5,3,942.26,0,low-engaged
129,1,122.47,0,low-engaged
41,5,499.42,0,low-engaged
102,6,1049.37,0,low-engaged
125,1,375.1,0,low-engaged
33,1,45.6,0,low-engaged
302,2,934.52,1,churned
365,1,182.25,1,churned
4,9,1018.43,0,low-engaged
2,18,4448.54,3,Regulars
3,1,194.42,0,low-engaged
10,13,50491.81,3,Regulars
57,1,161,0,low-engaged
325,1,76.32,1,churned
8,14,4076.91,0,low-engaged
12,1,442.85,0,low-engaged
4,17,65164.79,3,Regulars
37,1,147.35,0,low-engaged
16,11,3104.17,0,low-engaged
138,1,194.9,0,low-engaged
74,6,5976.79,0,low-engaged
5,5,1360.28,0,low-engaged
155,2,216.21,1,churned
239,1,1266.23,1,churned
52,7,2703.23,0,low-engaged
31,2,597.91,0,low-engaged
73,1,144.2,0,low-engaged
4,12,5683.15,0,low-engaged
14,4,692.85,0,low-engaged
23,7,2915.15,0,low-engaged
4,4,1840.42,0,low-engaged
274,2,386.53,1,churned
20,5,1382.74,0,low-engaged
144,1,90,1,churned
4,4,2780.15,0,low-engaged
84,1,419.58,0,low-engaged
11,3,2740.43,0,low-engaged
8,3,706.13,0,low-engaged
123,3,709.71,0,low-engaged
61,2,637.5,0,low-engaged
2,5,1123.86,0,low-engaged
319,1,483.86,1,churned
2,11,3586.03,0,low-engaged
130,3,605.64,0,low-engaged
2,15,4690.31,3,Regulars
2,2,982.38,0,low-engaged
46,1,415.82,0,low-engaged
4,2,935.05,0,low-engaged
3,4,915.13,0,low-engaged
373,1,311.81,1,churned
134,1,115.8,0,low-engaged
47,4,3742.2,0,low-engaged
9,5,4191,0,low-engaged
78,2,483.4,0,low-engaged
234,1,157.2,1,churned
221,1,446.62,1,churned
36,2,658.64,0,low-engaged
75,2,621.29,0,low-engaged
239,2,1345.62,1,churned
266,1,118.75,1,churned
10,55,117379.63,2,vip
20,2,432.88,0,low-engaged
40,1,507.66,0,low-engaged
20,11,4693.01,0,low-engaged
216,3,1110.52,1,churned
174,2,289.36,1,churned
87,4,2445.91,0,low-engaged
71,2,1631.77,0,low-engaged
276,1,122.54,1,churned
39,4,574.84,0,low-engaged
98,1,363.79,0,low-engaged
11,4,450.84,0,low-engaged
33,1,134.46,0,low-engaged
60,3,3222.3,0,low-engaged
297,4,576.9,1,churned
86,4,559.41,0,low-engaged
9,7,1620.93,0,low-engaged
41,2,719.78,0,low-engaged
11,25,4748.52,3,Regulars
67,1,452.89,0,low-engaged
331,1,197.65,1,churned
31,6,2054.36,0,low-engaged
2,15,4654.08,3,Regulars
2,13,4684.76,0,low-engaged
68,2,853.39,0,low-engaged
5,21,11349.52,3,Regulars
202,2,1012,1,churned
107,1,335.52,0,low-engaged
18,4,701.4,0,low-engaged
218,1,185.4,1,churned
60,7,747.44,0,low-engaged
2,1,161.03,0,low-engaged
17,2,466.7,0,low-engaged
239,1,328.16,1,churned
95,1,151.74,0,low-engaged
11,6,2073.43,0,low-engaged
106,6,1905.84,0,low-engaged
53,9,2241.1,0,low-engaged
90,1,1070.48,0,low-engaged
31,5,1004.38,0,low-engaged
12,6,1789.72,0,low-engaged
3,4,1839.3,0,low-engaged
2,17,2004.98,3,Regulars
43,1,169.48,0,low-engaged
4,1,89.94,0,low-engaged
247,2,632.4,1,churned
42,9,3432.8,0,low-engaged
177,1,683.17,1,churned
92,3,991.13,0,low-engaged
110,4,1050.12,0,low-engaged
29,5,2232.19,0,low-engaged
26,10,3350.96,0,low-engaged
52,3,1547.2,0,low-engaged
184,3,925.71,1,churned
43,5,2048.07,0,low-engaged
49,4,1462.72,0,low-engaged
22,4,775.46,0,low-engaged
75,5,3144.86,0,low-engaged
81,2,490.86,0,low-engaged
373,1,161,1,churned
326,1,146.85,1,churned
43,11,2380.85,0,low-engaged
30,2,890.34,0,low-engaged
184,1,213.7,1,churned
235,2,280.55,1,churned
9,10,2588.77,0,low-engaged
220,2,1693.45,1,churned
111,3,1474.06,0,low-engaged
278,1,136.77,1,churned
318,1,302.58,1,churned
7,3,1904.05,0,low-engaged
2,5,2879.7,0,low-engaged
260,2,969.06,1,churned
64,5,3099.72,0,low-engaged
9,9,12669.98,0,low-engaged
142,1,120,0,low-engaged
51,2,1163.45,0,low-engaged
8,8,2618.23,0,low-engaged
155,2,333.97,1,churned
109,2,530.18,0,low-engaged
163,3,1516.24,1,churned
332,1,492.65,1,churned
226,1,112.32,1,churned
74,2,437.96,0,low-engaged
51,4,559.97,0,low-engaged
99,3,1119.74,0,low-engaged
15,3,4216.2,0,low-engaged
197,1,134.04,1,churned
3,15,3729.34,3,Regulars
31,2,595.25,0,low-engaged
21,4,1910.01,0,low-engaged
24,3,4628.75,0,low-engaged
8,3,176.63,0,low-engaged
213,1,426.6,1,churned
9,6,911.26,0,low-engaged
11,5,2314.65,0,low-engaged
2,11,3883.25,0,low-engaged
8,9,4871.93,0,low-engaged
3,4,1046.56,0,low-engaged
40,1,166.2,0,low-engaged
18,4,1305.33,0,low-engaged
8,44,51527.3,3,Regulars
8,9,3965.62,0,low-engaged
19,1,43.2,0,low-engaged
117,1,640.14,0,low-engaged
223,1,383.45,1,churned
71,3,1858.96,0,low-engaged
51,2,2093.32,0,low-engaged
89,6,2995.72,0,low-engaged
8,9,2352.53,0,low-engaged
243,1,310.26,1,churned
47,6,1611.59,0,low-engaged
107,1,120,0,low-engaged
45,6,2481.13,0,low-engaged
65,1,508.58,0,low-engaged
207,2,477.79,1,churned
11,5,1530.75,0,low-engaged
115,2,605.06,0,low-engaged
242,1,183.85,1,churned
163,1,311.65,1,churned
17,7,5014.84,0,low-engaged
124,2,462.66,0,low-engaged
23,3,866.31,0,low-engaged
68,1,415.2,0,low-engaged
17,8,2552.21,0,low-engaged
16,2,468.26,0,low-engaged
17,4,1614.91,0,low-engaged
161,2,588.22,1,churned
243,1,309.52,1,churned
219,1,134.7,1,churned
45,8,2182.28,0,low-engaged
21,4,668.56,0,low-engaged
127,8,889.93,0,low-engaged
39,1,108.98,0,low-engaged
121,2,1021.58,0,low-engaged
260,1,409.57,1,churned
10,1,133.5,0,low-engaged
274,1,282.93,1,churned
165,1,51,1,churned
157,4,1078.96,1,churned
215,1,90.6,1,churned
6,2,163.62,0,low-engaged
366,1,174.4,1,churned
80,2,701.23,0,low-engaged
43,1,225.77,0,low-engaged
19,3,912.18,0,low-engaged
32,4,2128.23,0,low-engaged
22,1,161.2,0,low-engaged
109,8,3717.35,0,low-engaged
8,16,9261.52,3,Regulars
320,1,155,1,churned
295,1,100.5,1,churned
358,1,76.55,1,churned
185,1,257.68,1,churned
191,2,617.05,1,churned
44,2,348.1,0,low-engaged
52,1,202.68,0,low-engaged
26,1,626.07,0,low-engaged
38,3,1247.69,0,low-engaged
9,3,202.11,0,low-engaged
297,1,142.4,1,churned
33,3,1770.56,0,low-engaged
10,8,3212.84,0,low-engaged
65,2,1043.46,0,low-engaged
10,9,4652.82,0,low-engaged
218,1,67.95,1,churned
2,9,3507.71,0,low-engaged
65,2,487.99,0,low-engaged
3,19,2612.96,3,Regulars
149,1,574.7,1,churned
4,13,4051.48,0,low-engaged
130,4,1475.81,0,low-engaged
34,6,1474.32,0,low-engaged
119,1,156.75,0,low-engaged
107,6,2157.73,0,low-engaged
11,7,2606.53,0,low-engaged
71,6,2059.45,0,low-engaged
92,9,1105.07,0,low-engaged
311,1,1063,1,churned
43,2,770.03,0,low-engaged
362,1,122.7,1,churned
92,7,1496.98,0,low-engaged
1,13,5900.28,0,low-engaged
22,2,490.22,0,low-engaged
4,3,1937.25,0,low-engaged
11,6,1058.06,0,low-engaged
99,1,387.52,0,low-engaged
57,2,813.11,0,low-engaged
1,6,4263.64,0,low-engaged
218,1,265.2,1,churned
18,1,322.08,0,low-engaged
24,10,4481.67,0,low-engaged
50,2,363.34,0,low-engaged
7,5,1244.83,0,low-engaged
303,1,470.36,1,churned
10,6,2255.51,0,low-engaged
22,6,1372.8,0,low-engaged
99,1,89.06,0,low-engaged
366,1,63,1,churned
306,1,131.9,1,churned
320,1,2661.24,1,churned
8,5,2357.68,0,low-engaged
1,4,1712.89,0,low-engaged
205,2,1589.82,1,churned
54,4,1420.2,0,low-engaged
1,4,1039.58,0,low-engaged
19,5,1163.23,0,low-engaged
9,2,375.35,0,low-engaged
19,4,907.1,0,low-engaged
181,3,483.25,1,churned
60,2,662.59,0,low-engaged
11,2,264.44,0,low-engaged
190,1,119.93,1,churned
5,9,3062.4,0,low-engaged
311,1,113.64,1,churned
155,1,1837.92,1,churned
110,3,434.34,0,low-engaged
148,3,2103.06,1,churned
66,11,2004.02,0,low-engaged
98,3,529.62,0,low-engaged
247,3,1058.62,1,churned
29,7,2272.4,0,low-engaged
18,4,598.76,0,low-engaged
12,2,461.19,0,low-engaged
104,8,1936.84,0,low-engaged
74,2,234.34,0,low-engaged
46,1,547.66,0,low-engaged
72,3,925.85,0,low-engaged
257,1,215.7,1,churned
20,4,1309.6,0,low-engaged
254,2,316.25,1,churned
11,1,279.05,0,low-engaged
165,2,636.51,1,churned
18,6,2068.15,0,low-engaged
282,1,137.1,1,churned
50,1,321.92,0,low-engaged
39,1,165.75,0,low-engaged
27,6,1196.33,0,low-engaged
68,1,1064.28,0,low-engaged
207,1,463.38,1,churned
175,2,340.93,1,churned
7,5,2383.24,0,low-engaged
26,1,139.56,0,low-engaged
51,2,123.8,0,low-engaged
312,2,538.81,1,churned
309,1,475.37,1,churned
43,5,1957.32,0,low-engaged
26,3,815.32,0,low-engaged
88,3,356.85,0,low-engaged
184,2,251.21,1,churned
20,11,2470.67,0,low-engaged
3,6,3543.26,0,low-engaged
47,4,673.26,0,low-engaged
17,8,5905.64,0,low-engaged
17,5,2012.17,0,low-engaged
24,6,1383.18,0,low-engaged
22,2,276.42,0,low-engaged
11,5,1314.81,0,low-engaged
188,2,275.28,1,churned
101,3,455.59,0,low-engaged
61,3,1055.35,0,low-engaged
18,6,2102.09,0,low-engaged
33,2,330.45,0,low-engaged
64,1,174.37,0,low-engaged
2,2,270.6,0,low-engaged
24,4,974.54,0,low-engaged
108,1,241.09,0,low-engaged
32,9,1867.68,0,low-engaged
20,9,4332.2,0,low-engaged
3,55,8508.82,3,Regulars
37,1,364.22,0,low-engaged
60,3,620.04,0,low-engaged
26,6,2925.91,0,low-engaged
236,4,932.85,1,churned
25,7,1949.72,0,low-engaged
3,18,4447.05,3,Regulars
60,3,2864.19,0,low-engaged
260,1,171.8,1,churned
58,1,355.56,0,low-engaged
65,2,388.25,0,low-engaged
16,2,537.48,0,low-engaged
10,3,996.26,0,low-engaged
59,8,1461.65,0,low-engaged
186,1,103.25,1,churned
29,16,3630.33,3,Regulars
24,2,2024.45,0,low-engaged
5,5,2578.09,0,low-engaged
4,8,4007.54,0,low-engaged
151,2,652.8,1,churned
311,1,289.24,1,churned
11,2,765.62,0,low-engaged
18,2,186.23,0,low-engaged
152,1,165.07,1,churned
19,5,859.27,0,low-engaged
10,4,2381.04,0,low-engaged
57,2,324.14,0,low-engaged
85,1,788.38,0,low-engaged
7,22,2237.77,3,Regulars
76,3,1080.76,0,low-engaged
4,18,5074.77,3,Regulars
96,4,3099.12,0,low-engaged
111,1,1432,0,low-engaged
57,2,1530.36,0,low-engaged
1,1,227.39,0,low-engaged
281,2,218.06,1,churned
3,7,2832.84,0,low-engaged
180,9,1653.42,1,churned
372,1,35.4,1,churned
13,4,859.71,0,low-engaged
3,1,168.63,0,low-engaged
17,1,138.6,0,low-engaged
41,1,114.11,0,low-engaged
6,5,1052.55,0,low-engaged
169,4,1042.26,1,churned
50,1,157.05,0,low-engaged
277,1,237.36,1,churned
19,9,1601.14,0,low-engaged
372,1,39.75,1,churned
15,4,1447.14,0,low-engaged
35,3,570.46,0,low-engaged
22,3,617.99,0,low-engaged
7,2,379.83,0,low-engaged
20,6,1740.6,0,low-engaged
11,2,883.15,0,low-engaged
44,1,221.97,0,low-engaged
306,1,393.33,1,churned
11,1,213.96,0,low-engaged
275,1,660,1,churned
1,93,12156.65,3,Regulars
16,14,16569.5,3,Regulars
4,4,1785.15,0,low-engaged
72,4,601.56,0,low-engaged
243,3,406.08,1,churned
9,3,553.44,0,low-engaged
246,1,394.44,1,churned
206,2,412.78,1,churned
1,5,1788.36,0,low-engaged
185,1,320.58,1,churned
32,5,889.25,0,low-engaged
57,2,225.85,0,low-engaged
196,2,899.63,1,churned
24,4,2791.27,0,low-engaged
91,2,671.96,0,low-engaged
4,2,959.01,0,low-engaged
51,3,1006.98,0,low-engaged
263,1,114.56,1,churned
266,1,344.9,1,churned
36,2,609.85,0,low-engaged
51,1,443.6,0,low-engaged
52,6,2984.49,0,low-engaged
24,6,2125.08,0,low-engaged
22,1,110.46,0,low-engaged
59,1,96.12,0,low-engaged
170,2,693.81,1,churned
68,2,830.76,0,low-engaged
157,2,597.09,1,churned
2,73,280206.02,2,vip
201,1,243.22,1,churned
5,4,1417.29,0,low-engaged
67,2,654.6,0,low-engaged
77,1,114.18,0,low-engaged
1,7,1947.55,0,low-engaged
8,4,1932.23,0,low-engaged
169,2,291.05,1,churned
18,4,848.22,0,low-engaged
5,2,247.15,0,low-engaged
9,9,2529.93,0,low-engaged
87,2,285.74,0,low-engaged
27,1,107.95,0,low-engaged
29,4,771.17,0,low-engaged
20,2,637.89,0,low-engaged
61,5,1835.7,0,low-engaged
24,1,195.25,0,low-engaged
11,25,9241.2,3,Regulars
242,3,1269.99,1,churned
280,2,411.53,1,churned
235,2,765.55,1,churned
3,5,1736.4,0,low-engaged
16,1,604.75,0,low-engaged
31,6,2548.24,0,low-engaged
25,16,28754.11,3,Regulars
71,3,498.95,0,low-engaged
188,2,52,1,churned
26,5,1236.28,0,low-engaged
107,1,628.38,0,low-engaged
8,21,5630.87,3,Regulars
209,1,112.8,1,churned
44,2,371.7,0,low-engaged
31,5,2114.33,0,low-engaged
137,4,591.55,0,low-engaged
265,1,172.9,1,churned
4,7,2078.95,0,low-engaged
218,2,188.61,1,churned
2,5,1250.76,0,low-engaged
214,1,109.13,1,churned
32,3,2235.3,0,low-engaged
11,9,2549.37,0,low-engaged
1,17,3292.14,3,Regulars
15,1,318.17,0,low-engaged
11,9,1546.91,0,low-engaged
199,1,179,1,churned
3,3,1126.37,0,low-engaged
15,13,4921.04,0,low-engaged
14,4,606.13,0,low-engaged
10,11,2868.8,0,low-engaged
29,3,917.07,0,low-engaged
9,11,2666.36,0,low-engaged
24,1,160.19,0,low-engaged
25,4,867.38,0,low-engaged
43,2,329.68,0,low-engaged
2,5,1602.13,0,low-engaged
6,3,663.81,0,low-engaged
147,1,187.92,1,churned
10,6,1158.3,0,low-engaged
25,1,718.08,0,low-engaged
274,1,268.58,1,churned
374,1,313.49,1,churned
1,8,2005.06,0,low-engaged
47,3,380.02,0,low-engaged
8,8,2702.49,0,low-engaged
16,12,9585.91,3,Regulars
4,32,6065.69,3,Regulars
4,3,1164.55,0,low-engaged
43,7,1314.45,0,low-engaged
4,7,3902.28,0,low-engaged
197,3,1448.21,1,churned
12,6,1400.34,0,low-engaged
16,7,1099.98,0,low-engaged
113,5,1220.26,0,low-engaged
249,1,328.2,1,churned
29,5,1415.75,0,low-engaged
44,1,389.64,0,low-engaged
87,1,563.15,0,low-engaged
45,2,638.05,0,low-engaged
10,11,5010.28,0,low-engaged
15,1,738.96,0,low-engaged
75,1,420.5,0,low-engaged
145,4,1484.06,0,low-engaged
5,3,1625.97,0,low-engaged
297,1,89.2,1,churned
59,2,255.9,0,low-engaged
264,1,300.52,1,churned
47,1,278.3,0,low-engaged
29,3,254.11,0,low-engaged
8,6,2473.37,0,low-engaged
17,2,192.6,0,low-engaged
3,8,10674.75,0,low-engaged
232,2,876.42,1,churned
112,1,139.26,0,low-engaged
58,3,1011.9,0,low-engaged
51,11,2538.3,0,low-engaged
127,2,730.86,0,low-engaged
281,3,386.15,1,churned
55,2,447.68,0,low-engaged
320,1,200.1,1,churned
26,2,289.99,0,low-engaged
10,2,77.4,0,low-engaged
7,2,679.44,0,low-engaged
29,1,197.64,0,low-engaged
